subject,difficulty,condition,date,sa,ratio
sr,3,binocular,2016-10-07_04-27-38-PM.csv,1000,1.0
sr,1,binocular,2016-10-07_04-27-38-PM.csv,800,1.0
sr,2,binocular,2016-10-07_04-27-38-PM.csv,800,0.9896907216494846
sr,3,binocular,2016-10-07_04-27-38-PM.csv,800,1.0
sr,1,binocular,2016-10-07_04-27-38-PM.csv,600,1.0
sr,2,binocular,2016-10-07_04-27-38-PM.csv,600,0.9896907216494846
sr,3,binocular,2016-10-07_04-27-38-PM.csv,600,0.96
sr,1,binocular,2016-10-07_04-27-38-PM.csv,400,0.9594594594594594
sr,2,binocular,2016-10-07_04-27-38-PM.csv,400,1.0
sr,3,binocular,2016-10-07_04-27-38-PM.csv,400,0.9726027397260274
sr,1,binocular,2016-10-07_04-58-27-PM.csv,1000,1.0
sr,2,binocular,2016-10-07_04-58-27-PM.csv,1000,1.0
sr,3,binocular,2016-10-07_04-58-27-PM.csv,1000,0.9896907216494846
sr,1,binocular,2016-10-07_04-58-27-PM.csv,800,1.0
sr,2,binocular,2016-10-07_04-58-27-PM.csv,800,0.9795918367346939
sr,3,binocular,2016-10-07_04-58-27-PM.csv,800,0.9795918367346939
sr,1,binocular,2016-10-07_04-58-27-PM.csv,600,1.0
sr,2,binocular,2016-10-07_04-58-27-PM.csv,600,1.0
sr,3,binocular,2016-10-07_04-58-27-PM.csv,600,0.9795918367346939
sr,1,binocular,2016-10-07_04-58-27-PM.csv,400,1.0
sr,2,binocular,2016-10-07_04-58-27-PM.csv,400,0.9836065573770492
sr,3,binocular,2016-10-07_04-58-27-PM.csv,400,0.9863013698630136
sr,1,binocular,2016-10-11_12-26-07-PM.csv,1000,1.0
sr,2,binocular,2016-10-11_12-26-07-PM.csv,1000,1.0
